longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.79,33.78,44.0,2948.0,746.0,1781.0,712.0,1.7396,63900.0,<1H OCEAN
-117.78,33.78,26.0,1939.0,,1172.0,462.0,2.1458,69400.0,<1H OCEAN
-117.78,33.78,44.0,5154.0,1501.0,3251.0,1305.0,1.6389,64500.0,<1H OCEAN
-117.78,33.78,37.0,4255.0,1175.0,2730.0,1106.0,1.8125,61800.0,<1H OCEAN
-117.77,33.78,14.0,2501.0,,1434.0,603.0,2.1563,66900.0,<1H OCEAN
-117.77,33.78,27.0,1663.0,340.0,926.0,347.0,2.3654,65500.0,<1H OCEAN
-117.77,33.78,46.0,2392.0,,1387.0,530.0,1.6957,67100.0,<1H OCEAN
-117.77,33.78,36.0,1385.0,,747.0,295.0,2.3889,65600.0,<1H OCEAN
-117.76,33.78,46.0,3011.0,784.0,1790.0,740.0,1.8958,66700.0,<1H OCEAN
-117.76,33.78,35.0,1592.0,,913.0,336.0,2.2969,64100.0,<1H OCEAN
-117.76,33.78,26.0,3631.0,,2040.0,827.0,1.9087,66600.0,<1H OCEAN
-117.75,33.78,35.0,2897.0,,1633.0,606.0,2.3906,65000.0,<1H OCEAN
-117.75,33.78,46.0,5304.0,1569.0,3284.0,1457.0,1.3681,58300.0,<1H OCEAN
-117.75,33.78,35.0,2818.0,,1648.0,632.0,2.2188,61400.0,<1H OCEAN
-118.3,34.26,15.0,3148.0,,2463.0,1681.0,1.4340,70000.0,<1H OCEAN
-118.3,34.26,43.0,3020.0,829.0,2215.0,1212.0,1.1908,52200.0,<1H OCEAN
-118.28,34.28,18.0,3464.0,,2524.0,1420.0,1.9425,63000.0,<1H OCEAN
-118.28,34.28,14.0,2555.0,,1663.0,1015.0,2.1806,85100.0,<1H OCEAN
-118.28,34.28,20.0,3983.0,,2759.0,1482.0,1.6397,67300.0,<1H OCEAN
-118.28,34.28,15.0,3700.0,,2458.0,1458.0,1.4587,67300.0,<1H OCEAN
-118.28,34.28,20.0,4504.0,,2933.0,1668.0,1.5625,67300.0,<1H OCEAN
-118.28,34.28,21.0,4222.0,,2483.0,1510.0,1.5909,63300.0,<1H OCEAN
-118.28,34.28,17.0,4052.0,,2556.0,1585.0,1.5000,66700.0,<1H OCEAN
-118.28,34.28,17.0,3104.0,,1883.0,1097.0,1.5893,64400.0,<1H OCEAN
-119.46,36.32,25.0,1665.0,374.0,845.0,330.0,1.5603,58300.0,INLAND
-119.46,36.32,18.0,4632.0,,2830.0,1312.0,1.3578,52500.0,INLAND
-119.46,36.32,17.0,5358.0,,3250.0,1777.0,1.0781,38000.0,INLAND
-119.46,36.33,18.0,4040.0,,2300.0,1132.0,1.1875,37900.0,INLAND
-119.46,36.33,16.0,2374.0,,1013.0,463.0,2.5625,56700.0,INLAND
-119.46,36.33,21.0,4917.0,,3040.0,1481.0,1.2396,39300.0,INLAND
-119.46,36.33,17.0,3518.0,,2016.0,991.0,1.4318,42600.0,INLAND
-119.45,36.33,23.0,2308.0,,1285.0,572.0,1.6964,55200.0,INLAND
-119.45,36.33,17.0,3901.0,,2616.0,1178.0,1.3558,35300.0,INLAND
-119.45,36.33,17.0,2290.0,,1210.0,564.0,2.0208,39700.0,INLAND
-119.45,36.33,18.0,3891.0,,2200.0,1010.0,1.6103,50000.0,INLAND
-119.45,36.33,16.0,2153.0,,1206.0,528.0,1.9063,52900.0,INLAND
-119.45,36.33,17.0,3965.0,,2040.0,1082.0,1.7500,50000.0,INLAND
-119.45,36.33,18.0,3343.0,,1970.0,939.0,1.8214,50000.0,INLAND
-119.45,36.33,16.0,2244.0,,1175.0,505.0,2.0568,46300.0,INLAND
-119.45,36.33,17.0,3098.0,,1965.0,888.0,1.4107,44600.0,INLAND
-119.45,36.33,18.0,2947.0,,1911.0,798.0,1.4583,41500.0,INLAND
-119.45,36.33,17.0,2120.0,,1263.0,530.0,1.7031,48100.0,INLAND
-119.45,36.33,15.0,2416.0,,1592.0,697.0,1.4583,43800.0,INLAND
-119.45,36.33,25.0,1663.0,,1027.0,403.0,1.6250,46000.0,INLAND
-118.01,33.82,31.0,1960.0,,1244.0,456.0,2.2708,88600.0,NEAR OCEAN
-118.01,33.82,7.0,6837.0,1194.0,4022.0,1314.0,2.8264,113000.0,NEAR OCEAN
-118.01,33.82,11.0,2098.0,,1212.0,398.0,3.8750,109400.0,NEAR OCEAN
-118.01,33.82,36.0,2187.0,,1134.0,431.0,3.0625,105000.0,NEAR OCEAN
-118.01,33.82,27.0,3003.0,,1454.0,590.0,2.3125,105000.0,NEAR OCEAN
-118.01,33.82,15.0,3447.0,,1947.0,739.0,2.5938,94600.0,NEAR OCEAN
-118.01,33.81,30.0,2556.0,,1392.0,530.0,2.0357,94600.0,NEAR OCEAN
-118.01,33.81,30.0,1750.0,,1054.0,385.0,2.4063,89400.0,NEAR OCEAN
-118.01,33.81,48.0,1783.0,,1009.0,365.0,2.7250,84700.0,NEAR OCEAN
-118.01,33.81,25.0,2924.0,,1682.0,735.0,1.9464,81800.0,NEAR OCEAN
-118.01,33.81,31.0,2417.0,,1495.0,576.0,2.1563,80400.0,NEAR OCEAN
-118.01,33.81,25.0,2677.0,,1840.0,706.0,1.9844,78100.0,NEAR OCEAN
-118.01,33.81,30.0,2672.0,,1506.0,606.0,2.0625,77100.0,NEAR OCEAN
-118.01,33.81,25.0,2049.0,,1098.0,450.0,2.2396,74600.0,NEAR OCEAN
-118.01,33.81,31.0,1388.0,,754.0,305.0,2.3958,68100.0,NEAR OCEAN
-118.01,33.8,15.0,3424.0,,1960.0,702.0,2.7083,81100.0,NEAR OCEAN
-118.01,33.8,30.0,1442.0,,693.0,298.0,2.6146,71300.0,NEAR OCEAN
-118.01,33.8,30.0,2040.0,,1091.0,478.0,1.9688,70100.0,NEAR OCEAN
-118.01,33.8,46.0,1258.0,,727.0,292.0,2.0625,72300.0,NEAR OCEAN
-118.01,33.8,21.0,2519.0,,1489.0,635.0,1.9063,69500.0,NEAR OCEAN
-119.67,36.33,25.0,1665.0,374.0,845.0,330.0,1.5603,58300.0,ISLAND
-119.67,36.33,18.0,4632.0,,2830.0,1312.0,1.3578,52500.0,ISLAND
-119.67,36.33,17.0,5358.0,,3250.0,1777.0,1.0781,38000.0,ISLAND
-119.67,36.33,18.0,4040.0,,2300.0,1132.0,1.1875,37900.0,ISLAND
-119.67,36.33,16.0,2374.0,,1013.0,463.0,2.5625,56700.0,ISLAND
